_screen_index,database,evaluation_file,screening_id,screening_title,status,matched_title,best_candidate_title,best_candidate_doi,match_method,match_score,margin
12,IEEE,IEEE_S1_batch_001-020.jsonl,11664551,Evolving Jailbreaks: Automated Multi-Objective Long-Tail Attacks on Large Language Models,MATCHED,Evolving Jailbreaks: Automated Multi-Objective Long-Tail Attacks on Large Language Models,Evolving Jailbreaks: Automated Multi-Objective Long-Tail Attacks on Large Language Models,10.1109/tevc.2026.3726531,ID_EXACT,1.0,
13,IEEE,IEEE_S1_batch_001-020.jsonl,11655283,Evaluating Prompt Injection Risk and Guardrails in LLM-Enabled Home IoT Assistants,MATCHED,Evaluating Prompt Injection Risk and Guardrails in LLM-Enabled Home IoT Assistants,Evaluating Prompt Injection Risk and Guardrails in LLM-Enabled Home IoT Assistants,10.1109/imns67862.2026.11655283,ID_EXACT,1.0,
14,IEEE,IEEE_S1_batch_001-020.jsonl,11655291,Whispers of Wealth: A Systematic Red-Teaming Study of the Agent Payments Protocol (AP2),MATCHED,Whispers of Wealth: A Systematic Red-Teaming Study of the Agent Payments Protocol (AP2),Whispers of Wealth: A Systematic Red-Teaming Study of the Agent Payments Protocol (AP2),10.1109/imns67862.2026.11655291,ID_EXACT,1.0,
15,IEEE,IEEE_S1_batch_001-020.jsonl,11655176,"A Survey of Fuzzing Techniques for Large Language Model Agents: Challenges, Methods, and Future Directions",MATCHED,"A Survey of Fuzzing Techniques for Large Language Model Agents: Challenges, Methods, and Future Directions","A Survey of Fuzzing Techniques for Large Language Model Agents: Challenges, Methods, and Future Directions",10.1109/bdai70753.2026.11655176,ID_EXACT,1.0,
16,IEEE,IEEE_S1_batch_001-020.jsonl,11656649,A Privacy Preserving Federated XLM-RoBERTa Framework for Multilingual Prompt Injection Defense in Educational AI Platforms,MATCHED,A Privacy Preserving Federated XLM-RoBERTa Framework for Multilingual Prompt Injection Defense in Educational AI Platforms,A Privacy Preserving Federated XLM-RoBERTa Framework for Multilingual Prompt Injection Defense in Educational AI Platforms,10.1109/icssit69151.2026.11656649,ID_EXACT,1.0,
17,IEEE,IEEE_S1_batch_001-020.jsonl,11645442,Transferability of the GCG Attack Across LLMs: Correlation with Attention Similarity and Transfer Rate Prediction,MATCHED,Transferability of the GCG Attack Across LLMs: Correlation with Attention Similarity and Transfer Rate Prediction,Transferability of the GCG Attack Across LLMs: Correlation with Attention Similarity and Transfer Rate Prediction,10.1109/compsac69091.2026.00415,ID_EXACT,1.0,
18,IEEE,IEEE_S1_batch_001-020.jsonl,11645586,PRISM: A Lightweight Method for Jailbreak Detection via Prompt-Response Semantic Coherence Scoring in LLMs,MATCHED,PRISM: A Lightweight Method for Jailbreak Detection via Prompt-Response Semantic Coherence Scoring in LLMs,PRISM: A Lightweight Method for Jailbreak Detection via Prompt-Response Semantic Coherence Scoring in LLMs,10.1109/compsac69091.2026.00352,ID_EXACT,1.0,
19,IEEE,IEEE_S1_batch_001-020.jsonl,11652076,Intelligent prompt injection attack detection using transformer and multi-layer perceptron architectures,MATCHED,Intelligent prompt injection attack detection using transformer and multi-layer perceptron architectures,Intelligent prompt injection attack detection using transformer and multi-layer perceptron architectures,10.1109/icndsa68777.2026.11652076,ID_EXACT,1.0,
20,IEEE,IEEE_S1_batch_021-040.jsonl,11651315,Guarding the Gateway: Securing MCP-Mediated RAG Pipelines Against Injection with the Guru Framework,MATCHED,Guarding the Gateway: Securing MCP-Mediated RAG Pipelines Against Injection with the Guru Framework,Guarding the Gateway: Securing MCP-Mediated RAG Pipelines Against Injection with the Guru Framework,10.1109/icetics69505.2026.11651315,ID_EXACT,1.0,
21,IEEE,IEEE_S1_batch_021-040.jsonl,11649278,A Gateway-Centric Architecture for Bidirectional Content Moderation in Large Language Models,MATCHED,A Gateway-Centric Architecture for Bidirectional Content Moderation in Large Language Models,A Gateway-Centric Architecture for Bidirectional Content Moderation in Large Language Models,10.1109/eespe68405.2026.11649278,ID_EXACT,1.0,
22,IEEE,IEEE_S1_batch_021-040.jsonl,11648022,Prompt Injection as the New SQL Injection: The Emergence of Attacks on AI Reasoning,MATCHED,Prompt Injection as the New SQL Injection: The Emergence of Attacks on AI Reasoning,Prompt Injection as the New SQL Injection: The Emergence of Attacks on AI Reasoning,10.1109/iccsdfai70505.2026.11648022,ID_EXACT,1.0,
23,IEEE,IEEE_S1_batch_021-040.jsonl,11648021,Identity and Access Management for Agentic AI: A Zero-Trust Security Framework,MATCHED,Identity and Access Management for Agentic AI: A Zero-Trust Security Framework,Identity and Access Management for Agentic AI: A Zero-Trust Security Framework,10.1109/iccsdfai70505.2026.11648021,ID_EXACT,1.0,
24,IEEE,IEEE_S1_batch_021-040.jsonl,11648066,Development and Cybersecurity Evaluation of an AI-Based Clinical Decision Support Portal for Blood Gas Analysis and Secure Patient Data Management,MATCHED,Development and Cybersecurity Evaluation of an AI-Based Clinical Decision Support Portal for Blood Gas Analysis and Secure Patient Data Management,Development and Cybersecurity Evaluation of an AI-Based Clinical Decision Support Portal for Blood Gas Analysis and Secure Patient Data Management,10.1109/iccsdfai70505.2026.11648066,ID_EXACT,1.0,
25,IEEE,IEEE_S1_batch_021-040.jsonl,11647875,Zero-Shot Prompt Injection Detection via N-gram Pooling of Token-Level Hidden States,MATCHED,Zero-Shot Prompt Injection Detection via N-gram Pooling of Token-Level Hidden States,Zero-Shot Prompt Injection Detection via N-gram Pooling of Token-Level Hidden States,10.1109/iccsdfai70505.2026.11647875,ID_EXACT,1.0,
26,IEEE,IEEE_S1_batch_021-040.jsonl,11642016,Specialized Domain Jailbreak Benchmark: Exposing Severe Jailbreak Vulnerabilities in Large Language Models,MATCHED,Specialized Domain Jailbreak Benchmark: Exposing Severe Jailbreak Vulnerabilities in Large Language Models,Specialized Domain Jailbreak Benchmark: Exposing Severe Jailbreak Vulnerabilities in Large Language Models,10.1109/ccai69603.2026.11642016,ID_EXACT,1.0,
27,IEEE,IEEE_S1_batch_021-040.jsonl,11655601,Execution-Aware Stage-Wise Evaluation Framework for Indirect Prompt Injection in LLM-Based Email Agents,MATCHED,Execution-Aware Stage-Wise Evaluation Framework for Indirect Prompt Injection in LLM-Based Email Agents,Execution-Aware Stage-Wise Evaluation Framework for Indirect Prompt Injection in LLM-Based Email Agents,10.1109/access.2026.3723800,ID_EXACT,1.0,
28,IEEE,IEEE_S1_batch_021-040.jsonl,11645927,SecureContext EDU: An Open Source University Assistant using Dual - LLM Architecture,MATCHED,SecureContext EDU: An Open Source University Assistant using Dual - LLM Architecture,SecureContext EDU: An Open Source University Assistant using Dual - LLM Architecture,10.1109/icscss69635.2026.11645927,ID_EXACT,1.0,
29,IEEE,IEEE_S1_batch_021-040.jsonl,11642338,Poster: From Assistants to Actors: Deconstructing the Security Implications of Autonomous AI Agents,MATCHED,Poster: From Assistants to Actors: Deconstructing the Security Implications of Autonomous AI Agents,Poster: From Assistants to Actors: Deconstructing the Security Implications of Autonomous AI Agents,10.1109/svcc69905.2026.11642338,ID_EXACT,1.0,
30,IEEE,IEEE_S1_batch_021-040.jsonl,11642234,Security and Assurance Evaluation of RAG-Based AI Assistants in Learning Management Systems: A Pilot Study on Prompt Injection and Data Leakage,MATCHED,Security and Assurance Evaluation of RAG-Based AI Assistants in Learning Management Systems: A Pilot Study on Prompt Injection and Data Leakage,Security and Assurance Evaluation of RAG-Based AI Assistants in Learning Management Systems: A Pilot Study on Prompt Injection and Data Leakage,10.1109/isitia71267.2026.11642234,ID_EXACT,1.0,
31,IEEE,IEEE_S1_batch_021-040.jsonl,11636629,A Systematic Review of Jailbreaking Attacks and Defense Mechanisms in Large Language Models,MATCHED,A Systematic Review of Jailbreaking Attacks and Defense Mechanisms in Large Language Models,A Systematic Review of Jailbreaking Attacks and Defense Mechanisms in Large Language Models,10.1109/icseti67678.2026.11636629,ID_EXACT,1.0,
32,IEEE,IEEE_S1_batch_021-040.jsonl,11632629,"Secure MCP-Based Tool-Augmented RAG for Industrial IoT Diagnostics Under Indirect Prompt Injection, Retrieval Poisoning, and Modality Outages",MATCHED,"Secure MCP-Based Tool-Augmented RAG for Industrial IoT Diagnostics Under Indirect Prompt Injection, Retrieval Poisoning, and Modality Outages","Secure MCP-Based Tool-Augmented RAG for Industrial IoT Diagnostics Under Indirect Prompt Injection, Retrieval Poisoning, and Modality Outages",10.1109/icecet65726.2026.11632629,ID_EXACT,1.0,
33,IEEE,IEEE_S1_batch_021-040.jsonl,11632477,An Expert-Guided Architecture for Modular and Multi-Client Multi-Agent Systems,MATCHED,An Expert-Guided Architecture for Modular and Multi-Client Multi-Agent Systems,An Expert-Guided Architecture for Modular and Multi-Client Multi-Agent Systems,10.1109/icecet65726.2026.11632477,ID_EXACT,1.0,
34,IEEE,IEEE_S1_batch_021-040.jsonl,11629244,RUBEN: Rule-Based Explanations for Retrieval-Augmented LLM Systems,MATCHED,RUBEN: Rule-Based Explanations for Retrieval-Augmented LLM Systems,RUBEN: Rule-Based Explanations for Retrieval-Augmented LLM Systems,10.1109/icde65706.2026.00325,ID_EXACT,1.0,
35,IEEE,IEEE_S1_batch_021-040.jsonl,11628890,Designing AI Agents for Personal Assistance: Human Perceptions and Design Considerations,MATCHED,Designing AI Agents for Personal Assistance: Human Perceptions and Design Considerations,Designing AI Agents for Personal Assistance: Human Perceptions and Design Considerations,10.1109/iit.src67760.2026.11628890,ID_EXACT,1.0,
36,IEEE,IEEE_S1_batch_021-040.jsonl,11640556,A Gradient-Calibrated Adversarial Prompt Optimization Framework for Large Language Model Safety Evaluation,MATCHED,A Gradient-Calibrated Adversarial Prompt Optimization Framework for Large Language Model Safety Evaluation,A Gradient-Calibrated Adversarial Prompt Optimization Framework for Large Language Model Safety Evaluation,10.1109/eei70303.2026.11640556,ID_EXACT,1.0,
37,IEEE,IEEE_S1_batch_021-040.jsonl,11635380,"Ai SecureDataGuard: A Big Data Security, Privacy-Preserving and Visualization System for LLM-Powered Smart Homes",MATCHED,"Ai SecureDataGuard: A Big Data Security, Privacy-Preserving and Visualization System for LLM-Powered Smart Homes","Ai SecureDataGuard: A Big Data Security, Privacy-Preserving and Visualization System for LLM-Powered Smart Homes",10.1109/icbdse70225.2026.11635380,ID_EXACT,1.0,
38,IEEE,IEEE_S1_batch_021-040.jsonl,11638145,Securing LLM Software Supply Chains: A Layered Lifecycle Framework with Hybrid Post-Quantum Artifact Signing,MATCHED,Securing LLM Software Supply Chains: A Layered Lifecycle Framework with Hybrid Post-Quantum Artifact Signing,Securing LLM Software Supply Chains: A Layered Lifecycle Framework with Hybrid Post-Quantum Artifact Signing,10.1109/ids69480.2026.00011,ID_EXACT,1.0,
39,IEEE,IEEE_S1_batch_021-040.jsonl,11634335,Research on Dynamic Security Intervention and Semantic Robustness Detection Mechanism of Large Language Models for Sensitive Fields,MATCHED,Research on Dynamic Security Intervention and Semantic Robustness Detection Mechanism of Large Language Models for Sensitive Fields,Research on Dynamic Security Intervention and Semantic Robustness Detection Mechanism of Large Language Models for Sensitive Fields,10.1109/eitce70137.2026.11634335,ID_EXACT,1.0,
40,IEEE,IEEE_S1_batch_041-060.jsonl,11635183,LLM Security Defense Using Unsupervised Learning and Deep Reinforcement Learning,MATCHED,LLM Security Defense Using Unsupervised Learning and Deep Reinforcement Learning,LLM Security Defense Using Unsupervised Learning and Deep Reinforcement Learning,10.1109/dlcv69906.2026.11635183,ID_EXACT,1.0,
41,IEEE,IEEE_S1_batch_041-060.jsonl,11644251,An Empirical Evaluation of Prompt Injection Vulnerabilities in Large Language Models Across Multilingual and Obfuscated Attack Scenarios,MATCHED,An Empirical Evaluation of Prompt Injection Vulnerabilities in Large Language Models Across Multilingual and Obfuscated Attack Scenarios,An Empirical Evaluation of Prompt Injection Vulnerabilities in Large Language Models Across Multilingual and Obfuscated Attack Scenarios,10.23919/edccccps00002.2026.00039,ID_EXACT,1.0,
42,IEEE,IEEE_S1_batch_041-060.jsonl,11638709,EB-AIOps: Evidence-Bound and Injection-Resilient Intelligent Triage for Cloud Security Logs,MATCHED,EB-AIOps: Evidence-Bound and Injection-Resilient Intelligent Triage for Cloud Security Logs,EB-AIOps: Evidence-Bound and Injection-Resilient Intelligent Triage for Cloud Security Logs,10.1109/smartcloud69481.2026.00010,ID_EXACT,1.0,
43,IEEE,IEEE_S1_batch_041-060.jsonl,11628778,Multi-dimensional Vulnerability Analysis of LM Safety Guards via Role-Goal-Format Decomposition,MATCHED,Multi-dimensional Vulnerability Analysis of LM Safety Guards via Role-Goal-Format Decomposition,Multi-dimensional Vulnerability Analysis of LM Safety Guards via Role-Goal-Format Decomposition,10.1109/icufn69619.2026.11628778,ID_EXACT,1.0,
44,IEEE,IEEE_S1_batch_041-060.jsonl,11628499,Study on Cybersecurity for LLM Systems,MATCHED,Study on Cybersecurity for LLM Systems,Study on Cybersecurity for LLM Systems,10.1109/icufn69619.2026.11628499,ID_EXACT,1.0,
45,IEEE,IEEE_S1_batch_041-060.jsonl,11631471,LLM Shield: Detecting and Mitigating Adversarial Prompt Attacks on Large Language Models Using Machine Learning,MATCHED,LLM Shield: Detecting and Mitigating Adversarial Prompt Attacks on Large Language Models Using Machine Learning,LLM Shield: Detecting and Mitigating Adversarial Prompt Attacks on Large Language Models Using Machine Learning,10.1109/airc69745.2026.11631471,ID_EXACT,1.0,
46,IEEE,IEEE_S1_batch_041-060.jsonl,11638153,A Four-Axis Systematization of AI and Cybersecurity in the Era of Large Language Models,MATCHED,A Four-Axis Systematization of AI and Cybersecurity in the Era of Large Language Models,A Four-Axis Systematization of AI and Cybersecurity in the Era of Large Language Models,10.1109/bigdatasecurity69476.2026.00009,ID_EXACT,1.0,
47,IEEE,IEEE_S1_batch_041-060.jsonl,11643532,Beyond Wireless Security: Covert Communications in Large Language Model-Enabled Edge Networks,MATCHED,Beyond Wireless Security: Covert Communications in Large Language Model-Enabled Edge Networks,Beyond Wireless Security: Covert Communications in Large Language Model-Enabled Edge Networks,10.1109/mcom.001.2600036,ID_EXACT,1.0,
48,IEEE,IEEE_S1_batch_041-060.jsonl,11626451,Linguistic Pattern–Enriched Transformers for Prompt Injection Detection in LLM Systems,MATCHED,Linguistic Pattern–Enriched Transformers for Prompt Injection Detection in LLM Systems,Linguistic Pattern–Enriched Transformers for Prompt Injection Detection in LLM Systems,10.1109/fuzz69877.2026.11626451,ID_EXACT,1.0,
49,IEEE,IEEE_S1_batch_041-060.jsonl,11618584,ADVERSA: Measuring Multi-Turn Guardrail Degradation and Judge Reliability in Large Language Models,MATCHED,ADVERSA: Measuring Multi-Turn Guardrail Degradation and Judge Reliability in Large Language Models,ADVERSA: Measuring Multi-Turn Guardrail Degradation and Judge Reliability in Large Language Models,10.1109/sera69989.2026.11618584,ID_EXACT,1.0,
50,IEEE,IEEE_S1_batch_041-060.jsonl,11618608,"Prompt Injection as a Systemic Vulnerability in LLM-Based Tools: Threat Models, Empirical Analysis, and Mitigation Strategies",MATCHED,"Prompt Injection as a Systemic Vulnerability in LLM-Based Tools: Threat Models, Empirical Analysis, and Mitigation Strategies","Prompt Injection as a Systemic Vulnerability in LLM-Based Tools: Threat Models, Empirical Analysis, and Mitigation Strategies",10.1109/sera69989.2026.11618608,ID_EXACT,1.0,
51,IEEE,IEEE_S1_batch_041-060.jsonl,11627708,The Reproduction Number of AI Worms: Epidemic Modeling of Adversarial Attacks in LLM Agent Ecosystems,MATCHED,The Reproduction Number of AI Worms: Epidemic Modeling of Adversarial Attacks in LLM Agent Ecosystems,The Reproduction Number of AI Worms: Epidemic Modeling of Adversarial Attacks in LLM Agent Ecosystems,10.1109/msec.2026.3713527,ID_EXACT,1.0,
52,IEEE,IEEE_S1_batch_041-060.jsonl,11626887,RAPID: A Resource-Aware Prompt Injection Defense for LLM-enabled Threat Detection,MATCHED,RAPID: A Resource-Aware Prompt Injection Defense for LLM-enabled Threat Detection,RAPID: A Resource-Aware Prompt Injection Defense for LLM-enabled Threat Detection,10.1109/jiot.2026.3717740,ID_EXACT,1.0,
53,IEEE,IEEE_S1_batch_041-060.jsonl,11621639,Agentic AI in Cybersecurity:Threat Modeling and Containment Strategies for Autonomous LLM Agents,MATCHED,Agentic AI in Cybersecurity:Threat Modeling and Containment Strategies for Autonomous LLM Agents,Agentic AI in Cybersecurity:Threat Modeling and Containment Strategies for Autonomous LLM Agents,10.1109/ais69919.2026.11621639,ID_EXACT,1.0,
54,IEEE,IEEE_S1_batch_041-060.jsonl,11621239,Mechanistic Perspectives on LLM Jailbreaks and Internal Defenses,MATCHED,Mechanistic Perspectives on LLM Jailbreaks and Internal Defenses,Mechanistic Perspectives on LLM Jailbreaks and Internal Defenses,10.1109/caibda70336.2026.11621239,ID_EXACT,1.0,
55,IEEE,IEEE_S1_batch_041-060.jsonl,11621495,Safety Claims Under Pressure: A Methodological Review of LLM and MLLM Jailbreaks,MATCHED,Safety Claims Under Pressure: A Methodological Review of LLM and MLLM Jailbreaks,Safety Claims Under Pressure: A Methodological Review of LLM and MLLM Jailbreaks,10.1109/caibda70336.2026.11621495,ID_EXACT,1.0,
56,IEEE,IEEE_S1_batch_041-060.jsonl,11608418,On the Geometric Limits of Transformer Defenses against Obfuscation Attacks: Latent Embedding Collapse & Performance–Robustness Gap,MATCHED,On the Geometric Limits of Transformer Defenses against Obfuscation Attacks: Latent Embedding Collapse & Performance–Robustness Gap,On the Geometric Limits of Transformer Defenses against Obfuscation Attacks: Latent Embedding Collapse & Performance–Robustness Gap,10.1109/icad69378.2026.11608418,ID_EXACT,1.0,
57,IEEE,IEEE_S1_batch_041-060.jsonl,11608651,A Privacy-Preserving On-Device Multi-Agent Architecture for AI PC (POMA) Workflow Automation,MATCHED,A Privacy-Preserving On-Device Multi-Agent Architecture for AI PC (POMA) Workflow Automation,A Privacy-Preserving On-Device Multi-Agent Architecture for AI PC (POMA) Workflow Automation,10.1109/icad69378.2026.11608651,ID_EXACT,1.0,
58,IEEE,IEEE_S1_batch_041-060.jsonl,11605296,A Concise Review of Security Challenges and Protection for LLM-based Agents in Telecom Information Systems,MATCHED,A Concise Review of Security Challenges and Protection for LLM-based Agents in Telecom Information Systems,A Concise Review of Security Challenges and Protection for LLM-based Agents in Telecom Information Systems,10.1109/asens69964.2026.11605296,ID_EXACT,1.0,
59,IEEE,IEEE_S1_batch_041-060.jsonl,11614394,Prevalence of Security and Privacy Risk-Inducing Usage of AI-Based Conversational Agents,MATCHED,Prevalence of Security and Privacy Risk-Inducing Usage of AI-Based Conversational Agents,Prevalence of Security and Privacy Risk-Inducing Usage of AI-Based Conversational Agents,10.1109/access.2026.3714993,ID_EXACT,1.0,
60,IEEE,IEEE_S1_batch_061-080.jsonl,11614912,AI Safety Evaluation: Lessons from International Multilingual Joint Testing,MATCHED,AI Safety Evaluation: Lessons from International Multilingual Joint Testing,AI Safety Evaluation: Lessons from International Multilingual Joint Testing,10.1109/ms.2026.3715129,ID_EXACT,1.0,
61,IEEE,IEEE_S1_batch_061-080.jsonl,11612913,SafeSteer: Adaptive Subspace Steering for Efficient Jailbreak Defense in Vision Language Models,MATCHED,SafeSteer: Adaptive Subspace Steering for Efficient Jailbreak Defense in Vision Language Models,SafeSteer: Adaptive Subspace Steering for Efficient Jailbreak Defense in Vision Language Models,10.1109/tifs.2026.3714149,ID_EXACT,1.0,
62,IEEE,IEEE_S1_batch_061-080.jsonl,11603054,Encoding Book Evasion Technique to Bypass LLMs Defenses,MATCHED,Encoding Book Evasion Technique to Bypass LLMs Defenses,Encoding Book Evasion Technique to Bypass LLMs Defenses,10.1109/3scea68071.2026.11603054,ID_EXACT,1.0,
63,IEEE,IEEE_S1_batch_061-080.jsonl,11604974,IDE-Sanitizer: A Prompt-Injection Cryptographic Context Guard for IDE Copilots,MATCHED,IDE-Sanitizer: A Prompt-Injection Cryptographic Context Guard for IDE Copilots,IDE-Sanitizer: A Prompt-Injection Cryptographic Context Guard for IDE Copilots,10.1109/smartnets69662.2026.11604974,ID_EXACT,1.0,
64,IEEE,IEEE_S1_batch_061-080.jsonl,11604866,Veritas: Dynamic Evaluation Framework for Rag Systems' Defense Against Prompt Injection Attacks,MATCHED,Veritas: Dynamic Evaluation Framework for Rag Systems' Defense Against Prompt Injection Attacks,Veritas: Dynamic Evaluation Framework for Rag Systems' Defense Against Prompt Injection Attacks,10.1109/smartnets69662.2026.11604866,ID_EXACT,1.0,
65,IEEE,IEEE_S1_batch_061-080.jsonl,11600455,A Fragment-Based Multilingual Jailbreak Testing Framework for Large Language Models with Implications for Healthcare Deployment,MATCHED,A Fragment-Based Multilingual Jailbreak Testing Framework for Large Language Models with Implications for Healthcare Deployment,A Fragment-Based Multilingual Jailbreak Testing Framework for Large Language Models with Implications for Healthcare Deployment,10.1109/icstw72326.2026.00052,ID_EXACT,1.0,
66,IEEE,IEEE_S1_batch_061-080.jsonl,11599973,Ensemble Deep Learning for Robust Prompt Injection Detection in Banking LLMs,MATCHED,Ensemble Deep Learning for Robust Prompt Injection Detection in Banking LLMs,Ensemble Deep Learning for Robust Prompt Injection Detection in Banking LLMs,10.1109/icsccc69031.2026.11599973,ID_EXACT,1.0,
67,IEEE,IEEE_S1_batch_061-080.jsonl,11602220,ALTR: Adaptive Defense Framework Against Adversarial LLM Threats in Critical-Domain Applications,MATCHED,ALTR: Adaptive Defense Framework Against Adversarial LLM Threats in Critical-Domain Applications,ALTR: Adaptive Defense Framework Against Adversarial LLM Threats in Critical-Domain Applications,10.1109/ichms69701.2026.11602220,ID_EXACT,1.0,
68,IEEE,IEEE_S1_batch_061-080.jsonl,11603946,A Multi-Stage Adversarial Framework for Compact and Effective Jailbreaking of Large Language Models,MATCHED,A Multi-Stage Adversarial Framework for Compact and Effective Jailbreaking of Large Language Models,A Multi-Stage Adversarial Framework for Compact and Effective Jailbreaking of Large Language Models,10.1109/tdsc.2026.3712350,ID_EXACT,1.0,
69,IEEE,IEEE_S1_batch_061-080.jsonl,11600789,"AI Under Attack: A Practical Guide to Threats, Defenses, and Governance for AI Systems",MATCHED,,,,ID_EXACT,1.0,
70,IEEE,IEEE_S1_batch_061-080.jsonl,11594513,LLM-PEA: Leveraging Large Language Models Against Phishing Email Attacks,MATCHED,LLM-PEA: Leveraging Large Language Models Against Phishing Email Attacks,LLM-PEA: Leveraging Large Language Models Against Phishing Email Attacks,10.1109/dsn-w70714.2026.00038,ID_EXACT,1.0,
71,IEEE,IEEE_S1_batch_061-080.jsonl,11593451,Bypassing Safety Alignment via API Design: A Systematic Risk Analysis of Response Prefill in LLM Systems,MATCHED,Bypassing Safety Alignment via API Design: A Systematic Risk Analysis of Response Prefill in LLM Systems,Bypassing Safety Alignment via API Design: A Systematic Risk Analysis of Response Prefill in LLM Systems,10.1109/dsn69566.2026.00054,ID_EXACT,1.0,
