database,source_file,bib_key,entry_type,title,abstract,authors,year,doi,url,venue,content_type,title_norm,match_method,match_score,match_margin,evaluation_file,screening_doi,screening_id,screening_title,relevance_score,confidence,phenomenon_centrality,rq_contribution,application_context,evidence_or_synthesis,information_density,hard_exclude,study_type,contribution_types,contexts,possible_duplicate_llm,reason,score_recalculated,score_difference,score_formula_ok,screening_status,priority_band,dedup_key
IEEE,IEEE_S1_001-100.bib,11642234,inproceedings,Security and Assurance Evaluation of RAG-Based AI Assistants in Learning Management Systems: A Pilot Study on Prompt Injection and Data Leakage,"Learning management systems increasingly use retrieval-augmented generation (RAG) assistants to answer questions from course documents, but connecting heterogeneous learning materials to large language models also creates new security risks. This paper presents a pilot security-and-assurance evaluation of an LMS-oriented RAG assistant using Indonesian PDF materials from an Administrasi Jaringan course. We construct a role-aware corpus of 26 PDFs covering public instructional modules, internal staff notes, restricted synthetic-sensitive documents, and poisoned public documents. The benchmark contains 80 queries across benign use, direct prompt injection, indirect prompt injection, and leakage attempts, executed under three profiles: vanilla RAG, prompt-guarded RAG, and retrieval-aware hardened RAG. Across 240 Gemini 2.5 Flash runs, the vanilla profile achieved the highest benign utility score of 1.90 but remained vulnerable, with a direct prompt-injection ASR of 0.35, a leakage rate of 0.15, an unauthorized retrieval rate of 0.90, and a poisoned retrieval rate of 0.90. Prompt guarding reduced direct attack success to 0.05 but left retrieval exposure unchanged. The hardened profile eliminated observed leakage, unauthorized retrieval, and poisoned retrieval, with a modest utility reduction and residual direct-prompt-injection susceptibility. These findings indicate that LMS-RAG assurance should evaluate both answer-level behavior and retrieval-layer exposure.","Cahyo, Aditya Nur and Koprawi, Muhammad and Wantoro, Jan",2026,10.1109/isitia71267.2026.11642234,,2026 International Seminar on Intelligent Technology and Its Applications (ISITIA),,security and assurance evaluation of rag based ai assistants in learning management systems a pilot study on prompt injection and data leakage,ID_EXACT,1.0,,IEEE_S1_batch_021-040.jsonl,,11642234,Security and Assurance Evaluation of RAG-Based AI Assistants in Learning Management Systems: A Pilot Study on Prompt Injection and Data Leakage,0.99,0.99,1.0,1.0,0.9,1.0,1.0,False,BENCHMARK_EVALUATION,"['ATTACK', 'DEFENSE', 'MITIGATION', 'BENCHMARK', 'EVALUATION', 'DATASET']","['RAG', 'DOCUMENT_PROCESSING', 'EXTERNAL_CONTENT', 'UNTRUSTED_INPUT', 'GENERAL_LLM', 'CYBERSECURITY']",False,"O estudo avalia diretamente prompt injection direta e indireta, leakage e poisoning em um assistente RAG que processa PDFs. O resumo descreve corpus, benchmark, perfis defensivos, número de execuções e métricas como ASR e taxas de exposição, oferecendo evidência empírica muito densa.",0.98,0.01,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/isitia71267.2026.11642234
IEEE,IEEE_S1_001-100.bib,11636629,inproceedings,A Systematic Review of Jailbreaking Attacks and Defense Mechanisms in Large Language Models,"This paper is a systematic review of the current situation regarding jailbreaking attacks and defensive against Large Language Models (LLMs). The LLMs have performed very well in the field of software engineering and conversational systems. Nevertheless, regardless of such impressive capabilities, there are general weak points, namely, to prompt injection and jailbreaking attacks. Jailbreaking is the tactically designed control of input prompts to evade safety guardrails to cause adversarial or prohibited outputs. The current paper is proposing a comprehensive taxonomy that splits attacks into target visibility: White-Box, attack seeks the exploitation of inner architecture on the basis of gradient or logit exposure, and Black-Box, where the mechanisms of attack are grounded in prompt engineering and linguistic obfuscation. There are also the division of defense methods to Prompt-Level (pre-processing filtering) and Model-Level (intrinsic safety alignment). The findings describe the mathematical concepts of optimization-based attacks, including Greedy Coordinate Gradient (GCG) and inroads into novel deep learning-based advanced alignment models, including Deep Refusal. This proceeds on the background of emphasizing an everlasting adversarial arms race enabled by the current trade-off between robustly helpful and ultra-safe standards of the LLM and further underscoring the ultimate significance of defenses that are robustly anti-out-of-distribution (OOD) attack vectors.","Mittal, Anshika and Kaur, Jaspreet and Chatterjee, Tarun Kumar",2026,10.1109/icseti67678.2026.11636629,,2026 International Conference on Sustainable Engineering and Technology Innovations (ICSETI),,a systematic review of jailbreaking attacks and defense mechanisms in large language models,ID_EXACT,1.0,,IEEE_S1_batch_021-040.jsonl,,11636629,A Systematic Review of Jailbreaking Attacks and Defense Mechanisms in Large Language Models,0.86,0.92,1.0,1.0,0.5,0.75,0.75,False,REVIEW,"['ATTACK', 'DEFENSE', 'TAXONOMY', 'REVIEW']","['GENERAL_LLM', 'CYBERSECURITY']",False,"É uma revisão sistemática focada em jailbreaks e mecanismos de defesa, com taxonomia de ataques white-box/black-box e defesas em nível de prompt e modelo. O resumo fornece síntese relevante de técnicas como GCG e filtragem, embora detalhe pouco o método de revisão.",0.86,0.0,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/icseti67678.2026.11636629
IEEE,IEEE_S1_001-100.bib,11632629,inproceedings,"Secure MCP-Based Tool-Augmented RAG for Industrial IoT Diagnostics Under Indirect Prompt Injection, Retrieval Poisoning, and Modality Outages","Industrial IoT diagnostics require integrating diverse evidence streams, such as telemetry, event logs, configuration snapshots, and operational knowledge bases, while adhering to safety and security requirements. Tool-augmented retrieval-augmented generation (RAG) facilitates this integration by merging retrieval processes with the regulated use of tools. In Operational Technology (OT) settings, two primary risks associated with deployment are: (i) indirect prompt injection through retrieved materials or tool outputs, which can disrupt the model context and result in behavior that contradicts established policies; and (ii) limited visibility caused by tool failures, gaps in telemetry, and delayed logging, which diminishes evidential support and raises the chances of producing unsubstantiated outputs. This paper examines a protocol-aligned architecture that integrates MCP-exposed tools within a defense-in-depth RAG pipeline. The approach employs hybrid retrieval and reranking, instruction-aware content filtering, typed least-privilege tool mediation with audit logging, evidence-bound generation with citation enforcement, and outage-aware abstention policies. An OT-oriented stress-test suite is defined based on prior RAG security evaluations, and utility, security, and degradation metrics are reported using a proprietary multi-site IIoT dataset. The findings indicate the importance of treating retrieval and tool interfaces as distinct security boundaries in industrial diagnostic assistants.","Ersoy, Pınar and Erşahin, Mustafa",2026,10.1109/icecet65726.2026.11632629,,"2026 6th International Conference on Electrical, Computer and Energy Technologies (ICECET)",,secure mcp based tool augmented rag for industrial iot diagnostics under indirect prompt injection retrieval poisoning and modality outages,ID_EXACT,1.0,,IEEE_S1_batch_021-040.jsonl,,11632629,"Secure MCP-Based Tool-Augmented RAG for Industrial IoT Diagnostics Under Indirect Prompt Injection, Retrieval Poisoning, and Modality Outages",0.9,0.96,0.75,1.0,0.9,1.0,1.0,False,PRIMARY_DEFENSE,"['DEFENSE', 'MITIGATION', 'PREVENTION', 'EVALUATION', 'FRAMEWORK']","['RAG', 'EXTERNAL_CONTENT', 'UNTRUSTED_INPUT', 'GENERAL_LLM', 'CYBERSECURITY']",False,"Indirect prompt injection em materiais recuperados ou saídas de ferramentas é uma das ameaças principais tratadas por uma arquitetura RAG defensiva em profundidade. O estudo define stress tests e reporta métricas de utilidade, segurança e degradação, com forte aderência a RAG e conteúdo externo.",0.9,0.0,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/icecet65726.2026.11632629
IEEE,IEEE_S1_001-100.bib,11632477,inproceedings,An Expert-Guided Architecture for Modular and Multi-Client Multi-Agent Systems,"Large Language Model (LLM) applications increasingly rely on multi-agent and retrieval-augmented generation (RAG) architectures to solve complex, knowledge-intensive tasks. However, when deployed as generic platforms serving multiple customers and heterogeneous user groups, existing systems often rely on agent-level routing and prompt hardcoding, leading to poor modularity, limited reuse, and weak controllability. In particular, current approaches lack an explicit abstraction for modeling system capabilities and controlling which capabilities are accessible to different users. We propose an expert-guided multi-agent architecture that separates execution from capability modeling. Agents are responsible for LLM interaction and tool execution, while experts represent indivisible business or task capabilities and guide agent orchestration through dynamic prompt injection. This design enables a generic, multi-instance system in which different customer deployments and user groups share the same agent implementations while exposing different capability sets at the business level. The architecture enforces strong guarantees in terms of answerability, traceability, and controllability. A first working implementation has been developed, and an open-source release is currently in preparation.","ZHANG, Ying and GUILLAUME, Matthieu PETIT and LELEUX, Edouard and KRAUTH, Aurélien",2026,10.1109/icecet65726.2026.11632477,,"2026 6th International Conference on Electrical, Computer and Energy Technologies (ICECET)",,an expert guided architecture for modular and multi client multi agent systems,ID_EXACT,1.0,,IEEE_S1_batch_021-040.jsonl,,11632477,An Expert-Guided Architecture for Modular and Multi-Client Multi-Agent Systems,0.0,0.99,0.0,0.0,0.0,0.0,0.0,True,OTHER,[],[],False,"O termo “dynamic prompt injection” descreve um mecanismo legítimo de roteamento/orquestração usado pela própria arquitetura, não um ataque adversarial. O trabalho é sobre modularidade e controle de sistemas multiagente e, pelos metadados fornecidos, constitui falso positivo para o fenômeno de interesse.",0.0,0.0,True,EVALUATED,0.00–0.24 provável exclusão,doi:10.1109/icecet65726.2026.11632477
IEEE,IEEE_S1_001-100.bib,11629244,inproceedings,RUBEN: Rule-Based Explanations for Retrieval-Augmented LLM Systems,"This paper demonstrates RUBEN, an interactive tool for discovering minimal rules to explain the outputs of retrieval-augmented large language models (LLMs) in data-driven applications. We leverage novel pruning strategies to efficiently identify a minimal set of rules that subsume all others. We further demonstrate novel applications of these rules for LLM safety, specifically to test the resiliency of safety training and effectiveness of adversarial prompt injections.","Rorseth, Joel and Godfrey, Parke and Golab, Lukasz and Srivastava, Divesh and Szlichta, Jarek",2026,10.1109/icde65706.2026.00325,,2026 IEEE 42nd International Conference on Data Engineering (ICDE),,ruben rule based explanations for retrieval augmented llm systems,ID_EXACT,1.0,,IEEE_S1_batch_021-040.jsonl,,11629244,RUBEN: Rule-Based Explanations for Retrieval-Augmented LLM Systems,0.47,0.78,0.25,0.5,0.9,0.5,0.5,False,OTHER,"['EVALUATION', 'OTHER']","['RAG', 'GENERAL_LLM']",False,"RUBEN é principalmente uma ferramenta de explicabilidade para sistemas RAG, mas o resumo menciona aplicação de suas regras para testar resiliência de safety training e eficácia de adversarial prompt injections. A relação com prompt injection é secundária e faltam detalhes sobre ataques, métricas ou resultados de segurança.",0.47,0.0,True,EVALUATED,0.25–0.49 baixa prioridade,doi:10.1109/icde65706.2026.00325
IEEE,IEEE_S1_001-100.bib,11628890,inproceedings,Designing AI Agents for Personal Assistance: Human Perceptions and Design Considerations,"Large language models enable agentic workflows that can draft emails, propose calendar meetings, extract tasks from messages, and summarize long documents. Yet, deploying such agents in personal information management raises practical and ethical challenges: users must remain in control, privacy-sensitive data must be minimized, and the system must be transparent about what it did and why. This paper presents a human-centered design for a “Personal Assistant Agent” that orchestrates specialized AI agents for email, calendar scheduling, task management, and summarization while enforcing an explicit Approve/Edit/Reject decision loop. We combine related work on agentic LLM systems with perception-driven requirements, describe an end-to-end architecture including policy checks, consent management, audit logging, and defenses against prompt injection, and present evaluation checks plus a protocol to measure trust, usefulness, and reliability boundaries in realistic workflows.","Marko, Ing. Richard and Hitka, Bc. Patrik",2026,10.1109/iit.src67760.2026.11628890,,2026 Information Technology Scientific Research Conference (IIT.SRC),,designing ai agents for personal assistance human perceptions and design considerations,ID_EXACT,1.0,,IEEE_S1_batch_021-040.jsonl,,11628890,Designing AI Agents for Personal Assistance: Human Perceptions and Design Considerations,0.44,0.85,0.25,0.5,0.75,0.25,0.75,False,APPLICATION_SECURITY,"['DEFENSE', 'PREVENTION', 'FRAMEWORK']","['RAG', 'EMAIL', 'EXTERNAL_CONTENT', 'AGENT', 'MULTI_AGENT', 'GENERAL_LLM']",False,"O estudo é centrado no design humano de um assistente pessoal agentic, incluindo defesas contra prompt injection como parte de uma arquitetura mais ampla de controle, privacidade e auditoria. Apresenta protocolo de avaliação, mas não relata no resumo resultados empíricos específicos sobre ataques ou defesas de prompt injection.",0.44,0.0,True,EVALUATED,0.25–0.49 baixa prioridade,doi:10.1109/iit.src67760.2026.11628890
IEEE,IEEE_S1_001-100.bib,11640556,inproceedings,A Gradient-Calibrated Adversarial Prompt Optimization Framework for Large Language Model Safety Evaluation,"Large language models (LLMs) may still produce unsafe responses under optimized adversarial prompts, even after safety alignment. Existing gradient-based jailbreak evaluation methods usually use raw gradient signals for discrete prompt search, but raw gradients may be unstable in both magnitude and direction. This paper proposes a gradient-calibrated adversarial prompt optimization framework for LLM safety evaluation. The framework adopts REINFORCE-style randomized discrete prompt optimization as the parent objective and inserts a unified calibration interface before gradient-derived token-search signals are used. We instantiate this interface with two complementary primitives: LSGM for layer-wise magnitude calibration and LiLA for representation-space directional calibration. Experiments on HarmBench show that joint calibration improves attack success rate on multiple open-source safety-aligned models. Ablation results further suggest that the two primitives are more stable when used jointly than when used alone. The framework provides a compact white-box diagnostic tool for analyzing gradient quality in discrete adversarial prompt optimization, while transfer and defense results reveal clear limitations in generalizability and practical robustness.","Zhu, Zhihan and Mao, Muye and Zhang, Yuexin",2026,10.1109/eei70303.2026.11640556,,2026 8th International Conference on Electronic Engineering and Informatics (EEI),,a gradient calibrated adversarial prompt optimization framework for large language model safety evaluation,ID_EXACT,1.0,,IEEE_S1_batch_021-040.jsonl,,11640556,A Gradient-Calibrated Adversarial Prompt Optimization Framework for Large Language Model Safety Evaluation,0.93,0.99,1.0,1.0,0.5,1.0,1.0,False,PRIMARY_ATTACK,"['ATTACK', 'RED_TEAMING', 'EVALUATION', 'FRAMEWORK']","['GENERAL_LLM', 'CYBERSECURITY']",False,"O artigo propõe diretamente um método de otimização de prompts adversariais para avaliação de jailbreak em LLMs. Experimentos no HarmBench, múltiplos modelos e estudos de ablação medem attack success rate e estabilidade, fornecendo evidência forte sobre mecanismos e avaliação ofensiva.",0.92,0.01,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/eei70303.2026.11640556
IEEE,IEEE_S1_001-100.bib,11635380,inproceedings,"Ai SecureDataGuard: A Big Data Security, Privacy-Preserving and Visualization System for LLM-Powered Smart Homes","Now large language models and that multi-agent frameworks are widely used, platforms like MOSS can let users talk to smart homes naturally and link up all kinds of household devices. But there’s a slew of tough issues hindering these products from practical commercial application IoT data from every device, constant user privacy leaks, intentional prompt injection and safety guardrail evasion attacks, plus no tool to monitor all risks instantly.For the resolution of all aforementioned drawbacks, I built a complete big data security framework named SecureDataGuard. It packs malicious input screening, differential privacy, federated lightweight anomaly tracking and real-time data visual monitoring into one set of tools. I built the whole system on top of MOSS AI’s multi-agent structure, and also adopted mature industrial AI security tools from Anquan Data Intelligence.First, I made a two-step intent recognition algorithm to block prompt injection and jailbreak attempts. Second, I put together a mixed privacy protection scheme, so we can use data normally without exposing raw user information. I also developed a slimmed-down Transformer model called LADT to catch abnormal device behaviors the second they happen. On top of that, I built a monitoring panel with StarRocks and ECharts, so administrators can track every risk across bird’s-eye view of the whole system.A large set of empirical experiments was implemented with real-world smart home operation records to corroborate the system’s performance.. Encouraging results are observed in our experiments. The system accurately recognizes user commands with an accuracy rate of 97.8%.Identifies anomalous activity within 18 ms and lowers privacy leakage probability by 92%. All 18 key security metrics on the dashboard update within milliseconds. This work delivers a practical, deployable technical solution to handle smart home data safety, privacy risks, Anomalous Event Detection and Visual Risk Control","Zhou, Jun and Li, Hongying and Wang, Fan",2026,10.1109/icbdse70225.2026.11635380,,2026 IEEE 3rd International Conference on Big Data Science and Engineering (ICBDSE),,ai securedataguard a big data security privacy preserving and visualization system for llm powered smart homes,ID_EXACT,1.0,,IEEE_S1_batch_021-040.jsonl,,11635380,"Ai SecureDataGuard: A Big Data Security, Privacy-Preserving and Visualization System for LLM-Powered Smart Homes",0.66,0.88,0.5,0.75,0.75,0.75,0.75,False,APPLICATION_SECURITY,"['DEFENSE', 'DETECTION', 'MITIGATION', 'PREVENTION', 'EVALUATION', 'FRAMEWORK']","['AGENT', 'MULTI_AGENT', 'GENERAL_LLM', 'CYBERSECURITY', 'OTHER']",False,"O sistema de segurança para smart homes inclui um módulo explícito de reconhecimento de intenção para bloquear prompt injection e jailbreak, mas também cobre privacidade, anomalias e visualização. Há experimentos empíricos no domínio de smart home, porém as métricas apresentadas no resumo não isolam claramente o desempenho contra prompt injection.",0.66,0.0,True,EVALUATED,0.65–0.79 provável relevância,doi:10.1109/icbdse70225.2026.11635380
IEEE,IEEE_S1_001-100.bib,11638145,inproceedings,Securing LLM Software Supply Chains: A Layered Lifecycle Framework with Hybrid Post-Quantum Artifact Signing,"Large Language Models (LLMs) are increasingly embedded in production systems, creating complex development and deployment pipelines that resemble modern software supply chains. These pipelines span dataset ingestion, training workflows, model artifacts, distribution registries, inference infrastructure, and downstream application integration. While prior work has extensively examined model-centric threats such as extraction, inversion, and prompt injection, the security of the complete LLM lifecycle remains insufficiently addressed.Existing software supply chain frameworks, including Sigstore, in-toto, Supply-chain Levels for Software Artifacts (SLSA), and The Update Framework (TUF), provide strong guarantees for artifact integrity and provenance. However, these mechanisms were designed primarily for conventional software artifacts and do not fully capture AI-specific lifecycle threats such as data poisoning, training pipeline compromise, and retrieval-augmented prompt manipulation. In addition, most artifact signing infrastructures rely on classical cryptography that may face long-term risk from quantum adversaries.This paper proposes a layered security framework for LLM software supply chains. The framework models LLM security as a lifecycle control problem spanning five layers: Data, Training, Model, Inference, and Application. For each layer, the framework identifies representative assets, threat classes, and defensive controls. The paper further analyzes the role of hybrid post-quantum signatures combining classical digital signatures with post-quantum schemes such as ML-DSA to strengthen artifact integrity at the model distribution stage.To complement the conceptual framework, we include a prototype-oriented evaluation describing how the proposed controls can be instantiated in a reproducible pipeline and quantify the practical overhead of hybrid post-quantum artifact signing. The proposed framework provides a structured model for analyzing threat propagation across the LLM lifecycle while remaining compatible with established supply chain technologies. We contribute a formal threat taxonomy, a comparative analysis against existing frameworks, and an evidence-informed evaluation demonstrating why artifact integrity alone is insufficient for securing LLM supply chains.","Silva, Rafael and Duarte, Luiz",2026,10.1109/ids69480.2026.00011,,2026 IEEE 12th International Conference on Intelligent Data and Security (IDS),,securing llm software supply chains a layered lifecycle framework with hybrid post quantum artifact signing,ID_EXACT,1.0,,IEEE_S1_batch_021-040.jsonl,,11638145,Securing LLM Software Supply Chains: A Layered Lifecycle Framework with Hybrid Post-Quantum Artifact Signing,0.48,0.9,0.25,0.5,0.5,0.75,0.75,False,TAXONOMY,"['DEFENSE', 'TAXONOMY', 'EVALUATION', 'FRAMEWORK']","['RAG', 'GENERAL_LLM', 'CYBERSECURITY']",False,"Prompt injection é tratada como uma ameaça já conhecida dentro de um framework mais amplo de segurança da cadeia de suprimentos de LLMs, que também inclui poisoning, comprometimento de treinamento e integridade de artefatos. A taxonomia e os controles podem oferecer contexto útil, mas o foco principal não é prompt injection nem jailbreak.",0.48,0.0,True,EVALUATED,0.25–0.49 baixa prioridade,doi:10.1109/ids69480.2026.00011
IEEE,IEEE_S1_001-100.bib,11634335,inproceedings,Research on Dynamic Security Intervention and Semantic Robustness Detection Mechanism of Large Language Models for Sensitive Fields,"Large language models (LLMs) deployed in sensitive domains face several critical challenges, including the difficulty of identifying advanced implicit attacks, the excessive rigidity of existing defense mechanisms, and the insufficient adversarial robustness of underlying detectors. To address these issues, this paper proposes a dynamic safety intervention and robust detection mechanism driven by continuous risk scores. First, we construct a semantically enhanced risk detection model and conduct an in-depth empirical analysis of the optimization challenges under diverse adversarial training baselines (FGSM, PGD, and FreeLB), establishing a front-end risk detector with high precision and a near-zero false-positive rate under small-sample conditions. Second, we design a four-stage risk-adaptive dynamic intervention policy that automatically maps the continuous risk scores produced by the detector to generation-time decoding controls, including temperature reduction and nucleus-sampling (top-p) space contraction, thereby enabling a smooth transition from flexible parameter compression to rigid blocking. Furthermore, we extend the framework to mitigate cross-turn semantic cumulative risk, successfully intercepting progressive multi-turn jailbreak attacks via a cumulative threshold operator. Experimental results on the public HarmBench dataset and a self-built dataset show that the front-end semantic detector achieves an F1 score of 0.9916 with a near-zero false-positive rate, effectively identifying various complex implicit attacks. In safety evaluations, the adaptive policy achieves the highest predefined balanced score in the tested cross-model setting, while the results also show clear backend-dependent variations, achieving balanced scores of 0.94–0.99 and compressing the unsafe proxy to 0.02–0.12, which demonstrates certain architecture-agnostic generalization. System overhead analysis further indicates that the introduced intervention mechanism accounts for less than 4% of the total end-to-end latency, proving highly viable for real-world deployment in highly regulated, high-concurrency sensitive applications.","Wang, Shuheng and He, Rong and Li, Haoyuan and Yang, Jun and Yin, Renxing",2026,10.1109/eitce70137.2026.11634335,,2026 10th International Conference on Electronic Information Technology and Computer Engineering (EITCE),,research on dynamic security intervention and semantic robustness detection mechanism of large language models for sensitive fields,ID_EXACT,1.0,,IEEE_S1_batch_021-040.jsonl,,11634335,Research on Dynamic Security Intervention and Semantic Robustness Detection Mechanism of Large Language Models for Sensitive Fields,0.84,0.98,0.75,1.0,0.5,1.0,1.0,False,PRIMARY_DEFENSE,"['DEFENSE', 'DETECTION', 'MITIGATION', 'PREVENTION', 'EVALUATION']","['GENERAL_LLM', 'CYBERSECURITY']",False,"O estudo propõe detecção semântica e intervenção dinâmica contra ataques implícitos e inclui explicitamente jailbreak multi-turn progressivo. Há avaliação em HarmBench e dataset próprio, métricas de F1, falso positivo, segurança e latência, embora o escopo defensivo seja mais amplo que prompt injection.",0.84,0.0,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/eitce70137.2026.11634335
IEEE,IEEE_S1_001-100.bib,11635183,inproceedings,LLM Security Defense Using Unsupervised Learning and Deep Reinforcement Learning,"With the widespread deployment of large language models (LLMs) in intelligent systems, security threats such as prompt injection, jailbreaking, data poisoning, and hidden backdoor attacks have become increasingly severe. Traditional rule-based filtering and static detection methods are unable to capture implicit semantic attacks and hidden-space anomalies, and lack adaptability to evolving adversarial behaviors. To address these challenges,, unsupervised feature learning, deep reinforcement learning, and human-computer interaction. The framework leverages contrastive unsupervised feature learning to mine hidden-space anomalies in multi-modal inputs (text, images, and video), and employs proximal policy optimization (PPO)-based deep reinforcement learning to implement adaptive runtime defense strategies. A multi-modal dataset AISafe-36M is constructed to support the validation of implicit attack detection, jailbreaking interception, and cross-modal robustness. Extensive experiments show that the proposed method achieves 94.8% accuracy in implicit anomaly detection, reduces the attack success rate (ASR) of jailbreaking to below 1.6%, and maintains an average end-to-end latency of 28 ms, fully meeting the performance requirements of industrial applications. The framework realizes the organic integration of computer vision, deep learning, and security defense, and provides a systematic solution for the secure deployment of large language models.","Wang, Leilei and Li, Hongying",2026,10.1109/dlcv69906.2026.11635183,,2026 IEEE 3rd International Conference on Computer Vision and Deep Learning (DLCV),,llm security defense using unsupervised learning and deep reinforcement learning,ID_EXACT,1.0,,IEEE_S1_batch_041-060.jsonl,,11635183,LLM Security Defense Using Unsupervised Learning and Deep Reinforcement Learning,0.69,0.95,0.5,0.75,0.5,1.0,1.0,False,PRIMARY_DEFENSE,"['DEFENSE', 'DETECTION', 'MITIGATION', 'DATASET', 'EVALUATION', 'FRAMEWORK']","['GENERAL_LLM', 'MULTIMODAL', 'CYBERSECURITY']",False,"O estudo aborda prompt injection e jailbreak entre várias ameaças a LLMs e propõe um framework defensivo com detecção multimodal, aprendizado não supervisionado e defesa adaptativa. O resumo apresenta dataset próprio, métricas e resultados experimentais, mas o fenômeno de interesse divide centralidade com poisoning e backdoors.",0.69,0.0,True,EVALUATED,0.65–0.79 provável relevância,doi:10.1109/dlcv69906.2026.11635183
IEEE,IEEE_S1_001-100.bib,11644251,inproceedings,An Empirical Evaluation of Prompt Injection Vulnerabilities in Large Language Models Across Multilingual and Obfuscated Attack Scenarios,"Large Language Models (LLMs) have rapidly evolved, transforming industries by automating complex tasks and generating human-like content. However, as their adoption accelerates, prompt injection vulnerabilities have become increasingly apparent. Malicious actors exploit these weaknesses to generate phishing emails, deceptive websites, and malware, posing serious security risks. This paper presents an empirical evaluation of six state-of-the-art LLMs (DeepSeek, GPT, Gemini, Grok, Llama, and Qwen) under diverse adversarial prompt scenarios, including direct and multi-stage obfuscated attacks across multiple languages and character encodings. The proposed framework measures how effectively current LLMs resist manipulation into performing harmful actions. Our findings reveal systematic vulnerabilities across all tested models. Even direct prompt injections frequently induce the generation of phishing content, websites, and malware, while elaborate prompts achieve even higher malicious compliance rates, particularly for phishing. Models such as DeepSeek, Gemini, and Grok show especially high susceptibility under complex instructions. Notably, non-English languages consistently exhibit higher compliance rates than English, exposing significant gaps in multilingual safety alignment. Although simple character encodings reduce malicious outputs, they do not eliminate them. These results highlight persistent challenges in LLM safety and underscore the urgent need for stronger defenses and improved security mechanisms to support the ethical and secure deployment of LLMs in cybersecurity sensitive contexts.","Uysal, Çağlar and Birinci, Baturay and Mutluergil, Süha Orhun and Çetin, Orçun",2026,10.23919/edccccps00002.2026.00039,,2026 21st European Dependable Computing Conference Companion Proceedings (EDCC-C),,an empirical evaluation of prompt injection vulnerabilities in large language models across multilingual and obfuscated attack scenarios,ID_EXACT,1.0,,IEEE_S1_batch_041-060.jsonl,,11644251,An Empirical Evaluation of Prompt Injection Vulnerabilities in Large Language Models Across Multilingual and Obfuscated Attack Scenarios,0.93,0.99,1.0,1.0,0.5,1.0,1.0,False,BENCHMARK_EVALUATION,"['ATTACK', 'BENCHMARK', 'EVALUATION']","['GENERAL_LLM', 'CYBERSECURITY']",False,"Prompt injection é o foco central, com avaliação empírica de seis LLMs sob ataques diretos, multiestágio, multilíngues e ofuscados. O estudo relata diferenças de suscetibilidade e resultados de compliance malicioso, oferecendo evidência diretamente útil sobre vetores e robustez.",0.92,0.01,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.23919/edccccps00002.2026.00039
IEEE,IEEE_S1_001-100.bib,11638709,inproceedings,EB-AIOps: Evidence-Bound and Injection-Resilient Intelligent Triage for Cloud Security Logs,"Modern cloud platforms and large distributed systems generate massive volumes of logs that record failures, access behavior, and system states. These logs are central to security monitoring and reliability engineering. While recent log analysis models can detect anomalies with high accuracy, operational triage remains difficult. Security teams still need to manually inspect long log sequences, and emerging LLM-based assistants often produce explanations that lack sufficient evidence. More critically, cloud logs are untrusted inputs, and malicious strings embedded in logs can manipulate automated assistants and trigger unsafe outputs. This paper presents EB-AIOps, an evidence-bound and injection-resilient framework for intelligent cloud security triage. The proposed system integrates structured log parsing, risk-aware incident detection, evidence retrieval, and controlled language-model-based reporting. Only high-risk windows are forwarded for triage. For each suspected incident, the framework retrieves a small set of relevant historical logs and constrains the assistant to generate reports strictly grounded in this evidence. Raw log text is isolated from system instructions, which limits the effect of prompt injection hidden inside logs. Experiments on large-scale distributed log datasets show that EB-AIOps achieves strong detection performance, reaching 0.991 accuracy, 0.984 F1-score, and 0.993 AUC, outperforming deep sequence and transformer-based baselines. The framework also improves cross-system generalization, with F1-scores above 0.93 under domain shift. More importantly, EB-AIOps produces highly grounded triage outputs with 0.97 evidence precision and reduces prompt-injection attack success to 0.04, compared to 0.42 for unconstrained assistants. These results demonstrate that EB-AIOps enables accurate, verifiable, and secure incident triage for real cloud security operations.","Chugani, Hitesh",2026,10.1109/smartcloud69481.2026.00010,,2026 IEEE 11th International Conference on Smart Cloud (SmartCloud),,eb aiops evidence bound and injection resilient intelligent triage for cloud security logs,ID_EXACT,1.0,,IEEE_S1_batch_041-060.jsonl,,11638709,EB-AIOps: Evidence-Bound and Injection-Resilient Intelligent Triage for Cloud Security Logs,0.88,0.99,0.75,1.0,0.75,1.0,1.0,False,PRIMARY_DEFENSE,"['DEFENSE', 'MITIGATION', 'EVALUATION', 'FRAMEWORK']","['EXTERNAL_CONTENT', 'UNTRUSTED_INPUT', 'CYBERSECURITY', 'GENERAL_LLM']",False,O artigo trata explicitamente logs como entradas não confiáveis capazes de carregar prompt injection e propõe isolamento de instruções e geração baseada em evidências para reduzir o ataque. Há avaliação em datasets de logs e comparação direta da taxa de sucesso de prompt injection.,0.88,0.0,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/smartcloud69481.2026.00010
